title,onAir,img,comment,comment_count
真夜中のオカルト公務員,最速放送日  2019年4月7日(日)24:30～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_046.jpg,原作を読んでいるので楽しみです。声優さんも好きな人ばかり揃ってて嬉しいです♪ （柊なくる） ,1
新シリーズ デュエル・マスターズ!!,最速放送日  2019年4月～（放送局未定）,https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_064.jpg,コメントなし,0
続・終物語＆〈物語〉シリーズ セレクション,最速放送日  2019年4月6日(土)24:00～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_049.jpg,コメントなし,0
パウ・パトロール,最速放送日  2019年4月6日(土)10:30～(テレビ東京),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_060.jpg,コメントなし,0
この音とまれ！,最速放送日  2019年4月6日(土)25:00～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_019.jpg,コメントなし,0
この世の果てで恋を唄う少女YU-NO,最速放送日  2019年4月2日(火)23:00～(AT-X),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_004.jpg,2019年……今見たいのーー （スレイヤー） SPLIT_POINTなぜ・・・今？？？ （頭脳戦艦ガル彦） ,2
猫のニャッホ ～ニャ・ミゼラブル～,最速放送日  2019年4月3日(水)7:30～(テレビ東京),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_056.jpg,コメントなし,0
Cannon Busters,最速放送日  2019年3月～（Netflix）,../static/images/noimage.png,コメントなし,0
なんでここに先生が!?,最速放送日  2019年4月7日(日)25:05～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_033.jpg,コメントなし,0
ダイヤのA act II,最速放送日  2019年4月2日(火)17:55～(テレビ東京),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_054.jpg,コメントなし,0
川柳少女,最速放送日  2019年4月5日(金)25:55～(毎日放送),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_018.jpg,コメントなし,0
キラッとプリ☆チャン(シーズン2),最速放送日  2019年4月8日(日)10:00～(テレビ東京),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_042.jpg,コメントなし,0
ほら、耳がみえてるよ！-喂，看见耳朵啦- シーズン2,最速放送日  2019年4月5日(金)22:30～(AT-X),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_063.jpg,コメントなし,0
なむあみだ仏っ！-蓮台 UTENA-,最速放送日  2019年4月8日(月)22:30～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_032.jpg,コメントなし,0
消滅都市,最速放送日  2019年4月7日(日)23:30～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_022.jpg,コメントなし,0
洗い屋さん！～俺とアイツが女湯で！？～,最速放送日  2019年4月7日(日)25:00～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_055.jpg,コメントなし,0
さらざんまい,最速放送日  2019年4月11日(木)24:55～(フジテレビ),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_008.jpg,わからなさをウテナにもどしてほしい。ウテナＩＩとか無理っすか？さらざんまい #さらざんまい #幾原邦彦 #ノイタミナ http://akiba-souken.com/anime/20327/ （けんけんRX） ,1
女子かう生,最速放送日  2019年4月6日(土)23:15～ ※ふたばにめ内にて放送(AT-X),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_028.jpg,コメントなし,0
MIX,最速放送日  2019年4月6日(土)17:30～(読売テレビ),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_006.jpg,コメントなし,0
アイカツフレンズ！～かがやきのジュエル～,最速放送日  2019年4月4日(木)18:25～(テレビ東京),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_030.jpg,コメントなし,0
BS4K ナイトアニメ 「シドニアの騎士」シリーズ,最速放送日  2019年4月4日(木)19:55～20:19(NHK BS4K),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_034.jpg,コメントなし,0
